,tweet_id,tweet_text,tweet_time,tweet_language,tweet_source,tweet_author_id,retweet_count,reply_count,like_count,quote_count
0,1543996703644295169,"RT @Karin41652408: @zoller_marco @johannes_rauch Danach wird nicht gesucht, also wird man es auch nicht finden
Pers. bekannt
1. Im zeitlich…",2022-07-04 16:34:34+00:00,de,Twitter for Android,780858566,1,0,0,0
1,1543996701870022658,RT @delbigtree: Avoid proper clinical trials by claiming Emergency Use Authorization. Then skip all future clinical trials of new vaxxeens…,2022-07-04 16:34:34+00:00,en,Twitter for iPhone,1188863891041898496,4308,0,0,0
2,1543996701823930368,"RT @vtrinhn: Transcript now available for this informative episode with Dr. @Theresa_Chapple on outdoor transmission of COVID! 

https://t.…",2022-07-04 16:34:34+00:00,en,Twitter for Android,49732755,2,0,0,0
3,1543996701807022080,Kyrie Irving Responds To Kendrick Lamar’s Vaccine Lyric About Him On 'Savior’ https://t.co/MAGdtk7AkD https://t.co/t0wEbes7LN,2022-07-04 16:34:34+00:00,en,dlvr.it,197418521,0,0,0,0
4,1543996701471608833,RT @ken_crichlow: The latest figures for Covid hospital admissions show the number of positive patients in hospital was up by 37 per cent o…,2022-07-04 16:34:34+00:00,en,Twitter for iPhone,327630098,1,0,0,0
5,1543996701379383299,"RT @aragon_jb: Une amie de mon épouse vient de lui dire au téléphone qu'ils ont le covid dans sa famille ""vaccinée"" 4 doses et mon épouse l…",2022-07-04 16:34:34+00:00,fr,Twitter Web App,1424095507157327878,163,0,0,0
6,1543996698896261121,"RT @NightHaunter: En Australie, deux enfants non-vaccinés sont mort de la diphtérie, une information qui semble surgir d'un autre siècle ma…",2022-07-04 16:34:33+00:00,fr,Twitter for Android,3351065127,243,0,0,0
7,1543996697952542720,Uma galera com suspeita de COVID. Inclusive eu. Os hospitais daqui da baixada estão cheios de casos,2022-07-04 16:34:33+00:00,pt,Twitter Web App,1270495675009110020,0,0,0,0
8,1543996697659035650,RT @jennybethm: BREAKING: The Biden administration has announced a $3.2 billion deal to purchase 105 million doses of Pfizer’s COVID-19 vac…,2022-07-04 16:34:33+00:00,en,Twitter Web App,574084903,1237,0,0,0
9,1543996697411325952,@Paulishonlaffin @5dme81 https://t.co/UCiaOZYRl9,2022-07-04 16:34:33+00:00,qme,Twitter for iPhone,1311096193829629952,0,0,0,0
10,1543996696304254977,"RT @Brandon86724235: Most people aren't vaccinated against covid. Most are vaccinated against job loss, public opinion, inability to travel…",2022-07-04 16:34:33+00:00,en,Twitter for Android,956366953,83,0,0,0
11,1543996696123920385,RT @manuelrico: Hoy hace 838 días que el Gobierno Ayuso aprobó el Protocolo que impedía trasladar al hospital a los residentes más vulnerab…,2022-07-04 16:34:33+00:00,es,Twitter for Android,229779429,3939,0,0,0
12,1543996695662436352,RT @FartFromAmerika: LASCIENZAH ci ha salvati portando il covid anche d'estate. Ok.,2022-07-04 16:34:32+00:00,it,Twitter for Android,546654601,39,0,0,0
13,1543996694374801411,"RT @raimeygallant: To those giving up on trying to protect themselves from COVID because you don't want to feel like you're ""losing any mor…",2022-07-04 16:34:32+00:00,en,Twitter for Android,83664223,218,0,0,0
14,1543996693791707137,"New Research: Characteristics of Hospital Workers Using a Wellbeing Center Implemented During the COVID-19 Pandemic to Prevent the Emotional Impacts of the Crisis: Introduction

The COVID-19 pandemic has posed an unprecedented… https://t.co/GxCxrT70p7 #PublicHealth #HealthForAll",2022-07-04 16:34:32+00:00,en,dlvr.it,1329397100,0,0,0,0
